Building_ID,Building_Type,Governorate,Neighborhood,Day_of_Week,Occupancy_Level,Appliances_Usage_Level,SquareFootage,Last_Maintenance_Date,Average_Temperature,Energy_Consumption
BLD-1000-UD,Residential,Alexandria,Smouha,WeDnesday,High,Low,7063m2,2020-01-01,28.61,2713.95 kWh
BLD-1001-AX,Commercial,Giza,+Mohandessin14,tuesDAY,High,High,44372m2,2022-02-24,,5744.99 kWh
BLD-1002-IH,Industrial,Cairo,New Cairo,SunDay,Medium,Low,19255,2021-02-22,37.88,4101.24 kWh
BLD-1003-HE,,,+92Dokki,TuesDay,Low,High,13265,2023-07-30,35.06,3009.14 kWh
BLD-1004-XD,Commercial,Alexandria,Smouha,Monday,Low,Low,13375,2022-08-12,28.82,3279.17 kWh
BLD-1005-VX,Commercial,,%9New Cairo,SunDay,Low,Medium,37377m2,2022-07-31,37.54,4687.67 kWh
BLD-1006-RC,Industrial,Cairo,Heliopolis_59,saturDAY,High,Low,38638m2,2023-07-07,50.0,5526.83 kWh
BLD-1007-SN,Residential,Cairo,New Cairo,tuesDAY,Medium,Low,34950m2,2020-07-29,38.51,4116.32 kWh
BLD-1008-BA,Industrial,Alexandria,Gleem(23,MoNday,High,High,29741m2,2024-12-31,43.62,5841.65 kWh
BLD-1009-CG,Residential,,=Mohandessin10,FRIDAY,Medium,High,17467,2023-01-14,33.18,3419.13 kWh
BLD-1010-HQ,Commercial,Cairo,New Cairo,SUNDAY,High,Low,27702m2,2024-04-20,34.22,4318.61 kWh
BLD-1011-TA,Commercial,Alexandria,*36Smouha,friDAY,Low,High,47265m2,2023-10-28,39.71,5206.34 kWh
BLD-1012-RG,,Cairo,Heliopolis$34,THURSDAY,High,Medium,19139,2020-02-24,35.86,4070.21 kWh
BLD-1013-WU,Residential,Giza,-92Mohandessin,Sunday,Low,Low,17820,2020-05-15,20.0,2571.98 kWh
BLD-1014-WR,Residential,Giza,(75Mohandessin,sunday,High,Medium,45868m2,2023-10-15,-0.66,5031.14 kWh
BLD-1015-NH,Commercial,,)Gleem25,SuNday,Medium,High,9578,2021-07-01,31.13,3891.12 kWh
BLD-1016-OS,Commercial,Cairo,)Maadi19,TuesDay,Medium,High,4310,2023-12-14,25.83,3362.42 kWh
BLD-1017-IZ,Industrial,Cairo,*34Heliopolis,Saturday,High,Medium,38446m2,2021-12-07,,5672.37 kWh
BLD-1018-AY,Industrial,,Gleem_8,tuesDAY,Medium,Medium,7460m2,2020-04-17,27.55,3563.67 kWh
BLD-1019-ZF,Residential,Alexandria,)84Smouha,sunday,Low,High,10880m2,2023-08-31,22.29,3080.67 kWh
BLD-1020-WN,Commercial,Alexandria,-42Gleem,THursday,Low,High,37912m2,2022-01-16,,4993.7 kWh
BLD-1021-KI,Industrial,Giza,Dokki,MonDay,High,High,14699,2021-08-08,37.96,4750.37 kWh
BLD-1022-EG,Industrial,Giza,*Mohandessin93,thursday,Medium,Medium,18274,2020-09-28,35.47,4134.35 kWh
BLD-1023-YK,Commercial,Giza,Dokki,Sunday,Medium,Low,23898,2022-10-10,27.49,3930.14 kWh
BLD-1024-DC,Residential,Cairo,New Cairo$29,saturday,Medium,Medium,41498m2,2023-01-29,34.43,4411.53 kWh
BLD-1025-MD,Industrial,Alexandria,=Smouha43,FRIDAY,Low,Low,41238,2021-01-05,39.86,4812.15 kWh
BLD-1026-LL,Residential,,Smouha,Saturday,Low,Low,35611m2,2024-01-26,25.08,3342.21 kWh
BLD-1027-TI,Industrial,Giza,Mohandessin,TuesDay,Medium,Low,49653m2,2024-05-20,46.89,5754.96 kWh
